,,,,
,Lense,Top 6 Issues,Description (Why is it a problem?),Protein
,Climate and Ecosystems,Greenhouse gas,Large amounts of pollution,beef
,,,,
,,,,
,,,,
,,,,
,,,,
,Consumer Well-being,less visually appealing options,people choose meat entrees,plant
,,food misconceptions ,"students unable to make educated food choices, dissuades from eating sustainably",all? - mostly disadvantage for plant
,,high cholesterol,too much cholesterol is bad,eggs
,,high saturated fats,saturated fats are bad,beef
,,,,
,,,,
,Reduction of Wasted Food,,High Percentage of Waste,
,,,,
,,,,
,,,,
,,,,
,,,,
,Welfare of Animals,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Education and Food Literacy,too much information,can be overwhelming. won't read,all
,,too obscure,students won't look at info,all
,,,,
,,,,
,,,,
,,,,
,Well-being of Workers and Communities,Lots of worker industry,Meat processing is very dangerous,beef
